Time[s],XJ3_ACAN_CMX_V0.96::BCS_2_A::BCS_VehSpd[km/h],XJ3_ACAN_CMX_V0.96::EPS_1::EPS_StrngWhlTorq[Nm]
284.416394,28.8,
284.426238,28.8,
284.430108,,-0.1
284.436393,28.8,
284.446205,28.8,
284.449797,,-0.1
284.456385,28.8,
284.466248,28.8,
284.469792,,-0.1
284.476373,28.8,
284.486236,28.8,
284.48982,,-0.1
284.496383,28.8,
284.506227,28.8,
284.509854,,-0.1
284.516403,28.8,
284.52623,28.74375,
284.529882,,-0.1
284.53639,28.74375,
284.546142,28.74375,
284.549819,,-0.1
284.55639,28.74375,
284.566245,28.6875,
284.569869,,-0.1
284.576391,28.6875,
284.586215,28.6875,
284.589892,,-0.1
284.596389,28.6875,
284.606262,28.6875,
284.609844,,0
284.616399,28.6875,
284.626235,28.6875,
284.630133,,0
284.636392,28.6875,
284.646133,28.6875,
284.649849,,0
284.656367,28.6875,
284.666254,28.6875,
284.669769,,0
284.676401,28.575,
284.686245,28.575,
284.689886,,-0.1
284.696353,28.575,
284.706239,28.575,
284.709868,,-0.1
284.716386,28.575,
284.726233,28.575,
284.730122,,-0.1
284.736413,28.575,
284.746122,28.575,
284.749857,,-0.1
284.75639,28.575,
284.766251,28.575,
284.769771,,-0.1
284.776397,28.575,
284.786239,28.575,
284.789679,,-0.1
284.796391,28.575,
284.806237,28.575,
284.809758,,-0.1
284.816399,28.575,
284.826226,28.575,
284.829856,,0
284.836403,28.575,
284.84612,28.575,
284.849738,,-0.1
284.856406,28.575,
284.866228,28.575,
284.869773,,0
284.876368,28.575,
284.886248,28.575,
284.889791,,0
284.8964,28.51875,
284.906218,28.51875,
284.909775,,0
284.916395,28.51875,
284.926255,28.51875,
284.930097,,0
284.936389,28.51875,
284.946181,28.51875,
284.94973,,0
284.956374,28.51875,
284.966245,28.51875,
284.969775,,0
284.976401,28.51875,
284.986241,28.51875,
284.989817,,0
284.996415,28.51875,
285.006253,28.51875,
285.009727,,0
285.0164,28.51875,
285.026247,28.51875,
285.029873,,0
285.036396,28.51875,
285.046244,28.51875,
285.049757,,0
285.056396,28.51875,
285.066215,28.51875,
285.069774,,0
285.076377,28.51875,
285.086237,28.51875,
285.089798,,0
285.096412,28.51875,
285.106239,28.51875,
285.109784,,0
285.11639,28.51875,
285.126255,28.51875,
285.129887,,0
285.136417,28.51875,
285.146126,28.51875,
285.14974,,0.1
285.156399,28.51875,
285.166253,28.51875,
285.169764,,0.1
285.176411,28.51875,
285.186232,28.4625,
285.19005,,0.1
285.196396,28.4625,
285.206254,28.4625,
285.209989,,0.1
285.216405,28.4625,
285.226231,28.4625,
285.229869,,0.1
285.236412,28.4625,
285.246248,28.4625,
285.24976,,0.1
285.256368,28.4625,
285.266237,28.4625,
285.270018,,0
285.276404,28.4625,
285.286245,28.4625,
285.290057,,0
285.296343,28.4625,
285.306268,28.4625,
285.309587,,0
285.316422,28.4625,
285.326239,28.4625,
285.329611,,0
285.336419,28.4625,
285.346184,28.4625,
285.349748,,0
285.35642,28.4625,
285.366262,28.4625,
285.370024,,0
285.376403,28.4625,
285.386244,28.4625,
285.389818,,0
285.396348,28.4625,
285.406251,28.4625,
285.410039,,0
285.416414,28.4625,
285.426246,28.4625,
285.429871,,0
285.436434,28.40625,
285.446153,28.40625,
285.449735,,0
285.456407,28.40625,
285.466237,28.40625,
285.470007,,0
285.476396,28.40625,
285.486251,28.40625,
285.489803,,0
285.496397,28.4625,
285.506249,28.4625,
285.509795,,0
285.51641,28.4625,
285.526258,28.4625,
285.529874,,0
285.536415,28.4625,
285.546162,28.4625,
285.549744,,0
285.556418,28.4625,
285.566259,28.4625,
285.569759,,0
285.576412,28.4625,
285.58625,28.4625,
285.589806,,0
285.596411,28.4625,
285.606259,28.4625,
285.610002,,0
285.616395,28.4625,
285.626268,28.4625,
285.629642,,0
285.636431,28.4625,
285.64622,28.4625,
285.649752,,0
285.656392,28.4625,
285.666234,28.4625,
285.669771,,0
285.676414,28.4625,
285.686265,28.4625,
285.689809,,0.1
285.69647,28.4625,
285.70625,28.4625,
285.709794,,0.1
285.716397,28.4625,
285.726252,28.4625,
285.72983,,0.1
285.736419,28.4625,
285.74619,28.4625,
285.749508,,0.1
285.756393,28.4625,
285.766255,28.4625,
285.769783,,0.2
285.776384,28.4625,
285.786238,28.4625,
285.789824,,0.2
285.796418,28.4625,
285.806262,28.4625,
285.809794,,0.2
285.816391,28.51875,
285.826255,28.51875,
285.829883,,0.2
285.8364,28.51875,
285.846179,28.51875,
285.849515,,0.2
285.856404,28.51875,
285.866239,28.51875,
285.869793,,0.2
285.876404,28.51875,
285.886241,28.51875,
285.889804,,0.2
285.896453,28.51875,
285.906267,28.51875,
285.909793,,0.2
285.916423,28.51875,
285.926243,28.51875,
285.929876,,0.3
285.936433,28.51875,
285.946282,28.51875,
